Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,affiliation_data,unique_affiliation_count,all_usa,some_usa,all_china,some_china,unique_country_count,all_countries,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1999,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1998,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1997,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1995,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1994,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1992,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1987,affiliation_id_1987,affiliation_country_1987
Alexander Sasha Vezhnevets,1,,https://openalex.org/A5030684417,A5030684417,,Alexander Sasha Vezhnevets,"Alexander Vezhnevets, Alexander S. Vezhnevets, Alexander Sasha Vezhnevets",21,4301,1.5714285714285714,8,8,True,3,False,True,False,False,2,"United Kingdom, United States",Google (United Kingdom),United Kingdom,Google (United Kingdom),https://openalex.org/I4210113297,United Kingdom,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Araujo,1,,https://openalex.org/A5101666068,A5101666068,https://orcid.org/0000-0002-4214-6185,André Araujo,"André Filgueiras de Araujo, Andre F. Araujo, André Araujo, A. F. Araujo, A. Araujo, Andre Araujo, André Filgueiras de Araújo, Andre F. de Araújo, Andre F. de Araujo",48,1842,3.6,13,17,True,5,False,True,False,False,4,"Brazil, South Korea, United Kingdom, United States",DeepMind (United Kingdom),United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,Pohang University of Science and Technology,https://openalex.org/I123900574,South Korea,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,,,,Stanford University,https://openalex.org/I97018004,United States,Hospital de Clínicas da Unicamp,https://openalex.org/I4210148978,Brazil,,,,Hospital de Clínicas da Unicamp,https://openalex.org/I4210148978,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjun Karpur,1,,https://openalex.org/A5086235030,A5086235030,https://orcid.org/0000-0002-7568-3550,Arjun Karpur,Arjun Karpur,15,262,4.25,6,6,True,2,True,True,False,False,1,United States,Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,The University of Texas at Austin,https://openalex.org/I86519309,United States,The University of Texas at Austin,https://openalex.org/I86519309,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Szlam,1,,https://openalex.org/A5053145694,A5053145694,,Arthur Szlam,"Arthur D. Szlam, A.D. Szlam, Arthur Szlam, A. Szlam",198,21750,4.136363636363637,50,112,True,7,False,True,False,False,4,"Israel, Switzerland, United Kingdom, United States",ETH Zurich,Switzerland,,,,,,,,,,ETH Zurich,https://openalex.org/I35440088,Switzerland,City College of New York,https://openalex.org/I125687163,United States,City College of New York,https://openalex.org/I125687163,United States,Harvard University Press,https://openalex.org/I2801851002,United States,Meta (Israel),https://openalex.org/I2252078561,Israel,Menlo School,https://openalex.org/I4210099336,United States,City College of New York,https://openalex.org/I125687163,United States,Meta (Israel),https://openalex.org/I2252078561,Israel,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,City University of New York,https://openalex.org/I174216632,United States,City University of New York,https://openalex.org/I174216632,United States,City College of New York,https://openalex.org/I125687163,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Been Kim,1,,https://openalex.org/A5054693573,A5054693573,,Been Kim,Been Kim,5,16,0.0,2,1,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bingyi Cao,1,,https://openalex.org/A5108773038,A5108773038,,Bingyi Cao,Bingyi Cao,26,667,2.4285714285714284,8,8,True,2,False,True,False,False,2,"Germany, United States",Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,Freie Universität Berlin,https://openalex.org/I75951250,Germany,,,,Freie Universität Berlin,https://openalex.org/I75951250,Germany,Freie Universität Berlin,https://openalex.org/I75951250,Germany,,,,,,,,,,Freie Universität Berlin,https://openalex.org/I75951250,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Biddulph,1,,https://openalex.org/A5116014385,A5116014385,,Caleb Biddulph,Caleb Biddulph,1,0,0.0,0,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Schuurmans,1,,https://openalex.org/A5115944506,A5115944506,,Dale Schuurmans,Dale Schuurmans,1,0,0.0,0,0,False,0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Gnanapragasam,1,,https://openalex.org/A5029175132,A5029175132,,Dan Gnanapragasam,Dan Gnanapragasam,4,134,26.0,2,1,True,1,True,True,False,False,1,United States,Google (United States),United States,,,,,,,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Salz,2,,https://openalex.org/A5065353057,A5065353057,,Daniel Salz,Daniel Salz,8,216,27.25,4,3,True,1,True,True,False,False,1,United States,Google (United States),United States,,,,Google (United States),https://openalex.org/I1291425158,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
